app_id,run_id,opendate,inittermnumber,initpayment,asktotalcreditqty,inputusername,appdatetime,signdate,totalmaxpayment,card_number,client_snils,client_inn
2300155707,621785,2020-09-22,60.0000000000,29792.4500000000,1400000.0000000000,System,2020-09-22,2020-09-22,,4065408590255823,47336570505,15331271159
2300155703,621781,2020-09-22,60.0000000000,29792.4500000000,1400000.0000000000,System,2020-09-22,2020-09-22,,4047904626340780,51852580800,15711860707
7551,621739,2020-09-22,24.0000000000,2871.9700000000,60000.0000000000,SYSTEM,2020-09-22,2020-09-22,,4393087453929071,46881175834,16167137232
2300155604,621721,2020-09-22,,18066.0900000000,1700000.0000000000,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,195750.00000,4364090400372580,34066298984,16356025929
2300155605,621713,2020-09-22,30.0000000000,49256.8100000000,1271861.0000000000,System,2020-09-22,2020-09-22,,4822489129161629,95770658772,16787334230
2300155603,621700,2020-09-22,13.0000000000,106464.0600000000,1176471.0000000000,System,2020-09-22,2020-09-22,,4910030402348872,59749421562,17214624206
2300155601,621692,2020-09-22,36.0000000000,13170.9400000000,395604.0000000000,System,2020-09-22,2020-09-22,,4430740207729784,46691543122,17249672994
2300155554,621667,2020-09-22,,1031.0600000000,100000.0000000000,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,4945527180507883,46814641002,17414833937
2300139055,621653,2020-09-15,,15655.0200000000,1500000.0000000000,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,221850.00000,4138817042469209,58082693224,17422535476
2300155005,621641,2020-09-22,44.0000000000,8401.4800000000,300000.0100000000,Краснодарский Фронтовик ,2020-09-22,2020-09-22,,4013588791721427,8872601804,17439776487
2300155493,621622,2020-09-22,60.0000000000,15160.8200000000,610000.0000000000,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,4508835263607663,17469279221,17778737813
2300155483,621617,2020-09-22,,1368.6100000000,170000.0000000000,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,197925.00000,4116097381502011,25745039587,17875729529
2300155489,621596,2020-09-22,,1843.5700000000,170000.0000000000,Ипотечный Циковец Разработкович,2020-09-22,,192270.00000,4377899008973903,51753371788,18318720989
2300155309,621582,2020-09-22,,64404.9900000000,8000000.0000000000,Фронтовый Сотрудник Планктонович,2020-09-22,,50895.00000,4052961801931207,25176218063,18366857824
2300155483,621574,2020-09-22,,805.0700000000,100000.0000000000,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,4773105674912476,75553203803,18427745687
7550,621561,2020-09-22,60.0000000000,5604.8800000000,250000.0000000000,Credit Home Тестович,2020-09-22,2020-09-22,,4797104597547636,24607582882,18581465836
2300155482,621553,2020-09-22,,,600000.0000000000,SYSTEM,2020-09-22,2020-09-22,,4662314308975735,6821494071,18858429421
2300155429,621546,2020-09-22,60.0000000000,4453.7900000000,200000.0000000000,System,2020-09-22,2020-09-22,,4222870045373974,19160574880,19005893738
2050007690,621540,2020-09-22,,,299000.0000000000,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,4938106303122257,36422875895,19372643646
2300155430,621515,2020-09-22,19.0000000000,34701.1600000000,550000.0000000000,System,2020-09-22,2020-09-22,,4277382184702942,98785118290,19529366383
2300155420,621502,2020-09-22,,65897.0500000000,6800000.0000000000,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,195750.00000,4013791311908348,79213806820,19567906375
2300155424,621489,2020-09-22,,,50000.0000000000,SYSTEM,2020-09-22,2020-09-22,,4568129070927911,46063292073,19732266788
2300155423,621484,2020-09-22,19.0000000000,34701.1600000000,550000.0000000000,System,2020-09-22,2020-09-22,,4278666327081035,18871320093,19741511041
