app_id,run_id,client_id,lastname,firstname,middlename,sex,birthplacetown,birthdate,familymembersnumber,maxpayment,avg_pure_income
3323,2018804,1252,Сященко,Расул,Михайловна,,,1976-06-15,,,
4770,2018804,3691,Куприянова,Чингиз,Валериевич,1,Москва,1976-07-23,0,,
7521,619706,5596,Путаненко,Рина,Октябрятовна,0,Москва,1990-01-01,0,,
7522,619796,5599,Зайцева ,Любомир,Миродарович,0,Москва,1990-01-01,0,,
7524,619925,5605,Лапшин,Викентий,Валентиновна,1,Москва,2005-01-01,0,,
7528,620596,5611,Металиченко,Максуд,Петрович,0,иваново,1988-03-02,1,,
7529,620597,5612,Металиченко,Максуд,Петрович,1,лодщшл,1975-02-01,1,,
7529,620601,5612,Металиченко,Максуд,Петрович,1,лодщшл,1975-02-01,1,,
7530,620618,5613,Металиченко,Густав,Дастиновна,0,иваново,1988-03-02,1,,
7531,620619,5614,Металиченко,Густав,Дастиновна,1,лодщшл,1975-02-01,1,,
7531,620622,5614,Металиченко,Густав,Дастиновна,1,лодщшл,1975-02-01,1,,
7532,620672,5616,Лазарева,Нестор,Ленарович,0,иваново,1988-03-02,1,,
7533,620673,5617,Лазарева,Нестор,Ленарович,1,лодщшл,1975-02-01,1,,
7533,620677,5617,Лазарева,Нестор,Ленарович,1,лодщшл,1975-02-01,1,,
7534,620678,5619,Озерова,Дорофей,Петрович,0,иваново,1988-03-02,1,,
7535,620679,5620,Озерова,Дорофей,Петрович,1,лодщшл,1975-02-01,1,,
7535,620686,5620,Озерова,Дорофей,Петрович,1,лодщшл,1975-02-01,1,,
7536,620689,5622,Петренко,Умар,Семеновна,0,иваново,1988-03-02,1,,
7537,620690,5623,Петренко,Умар,Семеновна,1,лодщшл,1975-02-01,1,,
7537,620691,5623,Петренко,Умар,Семеновна,1,лодщшл,1975-02-01,1,,
7538,620697,5625,Новикова ,Викентий,Хьевна,0,иваново,1988-03-02,1,,
7539,620698,5626,Новикова ,Викентий,Хьевна,1,лодщшл,1975-02-01,1,,
7539,620704,5626,Новикова ,Викентий,Хьевна,1,лодщшл,1975-02-01,1,,
7540,620860,5628,Люльченко,Расул,Варленовна,0,иваново,1988-03-02,1,,
7541,620861,5629,Люльченко,Расул,Варленовна,1,лодщшл,1975-02-01,1,,
7541,620862,5629,Люльченко,Расул,Варленовна,1,лодщшл,1975-02-01,1,,
7542,620986,5631,Малолетко,Фая,Вышемирович,1,Яр,1982-05-21,1,,
7543,621006,5632,Корнеева,Ярослав,Игоревич,1,Москва,1990-10-14,0,,
7544,621076,5634,Панов,Виктор,Эрминович,1,Москва,1990-10-14,0,,
7545,621104,5635,Белоненко,Соломон,Евгеньевич,1,москва,1990-12-12,1,,
7546,621157,5637,Крылова,Нестор,Сетовна,1,Москва,1990-12-12,0,,
7547,621198,5638,Крылова,Расул,Сетовна,1,Москва,1997-10-18,,,
7548,621306,5640,Лотоненко,Динар,Игоревич,0,Москва,1991-02-03,1,,
7548,621307,5640,Лотоненко,Динар,Игоревич,0,Москва,1991-02-03,1,,
7549,621373,5641,Архипова,Джессика,Михалаповна,1,Москва,1977-11-11,1,,
7549,621378,5641,Архипова,Джессика,Михалаповна,1,Москва,1977-11-11,1,,
7550,621557,5643,Архипова,Джессика,Михалаповна,1,Москва,1977-11-11,1,,
7550,621561,5643,Архипова,Джессика,Михалаповна,1,Москва,1977-11-11,1,,
7551,621739,5644,Куприянова,Дорофей,Эдуардович,1,Москва,2005-01-01,0,,
2050007604,619334,2000079701,Горстко,Инокентий,Радогоровна,1,Москва,1985-03-05,,,
2050007604,619376,2000079701,Горстко,Инокентий,Радогоровна,1,Москва,1985-03-05,,,
2050007604,619383,2000079701,Горстко,Инокентий,Радогоровна,1,Москва,1985-03-05,,92236,113100.00000
2050007608,619528,2000079801,Калёко,Станислав,Даниловна,1,Москва,1985-09-17,,,
2050007608,619545,2000079801,Калёко,Станислав,Даниловна,1,Москва,1985-09-17,,,
2050007608,619558,2000079801,Калёко,Станислав,Даниловна,1,Москва,1985-09-17,,107667,130500.00000
2050007630,619978,2000076701,Топчиенко,Назира,Пегорович,0,Москва гор.,1990-12-14,,,
2050007686,620683,2000076701,Топчиенко,Назира,Пегорович,0,Москва гор.,1990-12-14,,,
2050007686,621526,2000076701,Топчиенко,Назира,Пегорович,0,Москва гор.,1990-12-14,,,
