app_id,run_id,client_id,lastname,firstname,middlename,sex,birthplacetown,birthdate,familymembersnumber,maxpayment,avg_pure_income
3323,2018804,1252,Сященко,Расул,Михайловна,,Марий Эл,1976-06-15,,,
4770,2018804,3691,Абдрехимова,Татяна,Вилеоровна,1.0,Новосибирская область,1976-07-23,0.0,,
7521,619706,5596,Годеев,Орвал,Анатольевич,0.0,Новосибирская область,1990-01-01,0.0,,
7522,619796,5599,Бродниковская,Сетрак,Григорьевич,0.0,Новосибирская область,1990-01-01,0.0,,
7524,619925,5605,Новик-Золотова,Эндзела,Викторовна,1.0,Новосибирская область,2005-01-01,0.0,,
7528,620596,5611,Канская,Аверкий,Анатольевич,0.0,Тыва,1988-03-02,1.0,,
7529,620597,5612,Жемугова,Эгита,Степановна,1.0,Дагестан,1975-02-01,1.0,,
7529,620601,5612,Жемугова,Эгита,Степановна,1.0,Дагестан,1975-02-01,1.0,,
7530,620618,5613,Канская,Анилкар,Савельевич,0.0,Тыва,1988-03-02,1.0,,
7531,620619,5614,Жемугова,Дэйвия,Вячеславовна,1.0,Дагестан,1975-02-01,1.0,,
7531,620622,5614,Жемугова,Дэйвия,Вячеславовна,1.0,Дагестан,1975-02-01,1.0,,
7532,620672,5616,Атлаев,Мусиф,Иванович,0.0,Тыва,1988-03-02,1.0,,
7533,620673,5617,Афнасьева,Наджван,Анатольевна,1.0,Дагестан,1975-02-01,1.0,,
7533,620677,5617,Афнасьева,Наджван,Анатольевна,1.0,Дагестан,1975-02-01,1.0,,
7534,620678,5619,Цидильковская,Фрасер,Анатольевич,0.0,Тыва,1988-03-02,1.0,,
7535,620679,5620,Шафиатуллина,Регин,Степановна,1.0,Дагестан,1975-02-01,1.0,,
7535,620686,5620,Шафиатуллина,Регин,Степановна,1.0,Дагестан,1975-02-01,1.0,,
7536,620689,5622,Собкин,Мелс,Дмитриевич,0.0,Тыва,1988-03-02,1.0,,
7537,620690,5623,Каузова,Лека,Варленовна,1.0,Дагестан,1975-02-01,1.0,,
7537,620691,5623,Каузова,Лека,Варленовна,1.0,Дагестан,1975-02-01,1.0,,
7538,620697,5625,Барчевский,Чаевой,Леонидович,0.0,Тыва,1988-03-02,1.0,,
7539,620698,5626,Деза,Эндзела,Эльдаровна,1.0,Дагестан,1975-02-01,1.0,,
7539,620704,5626,Деза,Эндзела,Эльдаровна,1.0,Дагестан,1975-02-01,1.0,,
7540,620860,5628,Пошоцкий,Салахаддин,Славомысович,0.0,Тыва,1988-03-02,1.0,,
7541,620861,5629,Иконенкова,Хедвига,Вемировна,1.0,Дагестан,1975-02-01,1.0,,
7541,620862,5629,Иконенкова,Хедвига,Вемировна,1.0,Дагестан,1975-02-01,1.0,,
7542,620986,5631,Чемезова,Евдокия,Вячеславовна,1.0,Омская область,1982-05-21,1.0,,
7543,621006,5632,Котенкова,Крамиса,Арсеньевна,1.0,Новосибирская область,1990-10-14,0.0,,
7544,621076,5634,Мешканцева,Бета,Хаттабовна,1.0,Новосибирская область,1990-10-14,0.0,,
7545,621104,5635,Капурина,Эндзела,Сетовна,1.0,Астраханская область,1990-12-12,1.0,,
7546,621157,5637,Куксенова,Наджван,Анатольевна,1.0,Новосибирская область,1990-12-12,0.0,,
7547,621198,5638,Куксенова,Хедвига,Анатольевна,1.0,Новосибирская область,1997-10-18,,,
7548,621306,5640,Алпенидзе,Гермин,Таклесович,0.0,Новосибирская область,1991-02-03,1.0,,
7548,621307,5640,Алпенидзе,Гермин,Таклесович,0.0,Новосибирская область,1991-02-03,1.0,,
7549,621373,5641,Коногова,Оскарина,Артемовна,1.0,Новосибирская область,1977-11-11,1.0,,
7549,621378,5641,Коногова,Оскарина,Артемовна,1.0,Новосибирская область,1977-11-11,1.0,,
7550,621557,5643,Коногова,Оскарина,Артемовна,1.0,Новосибирская область,1977-11-11,1.0,,
7550,621561,5643,Коногова,Оскарина,Артемовна,1.0,Новосибирская область,1977-11-11,1.0,,
7551,621739,5644,Абдрехимова,Регин,Доброгостовна,1.0,Новосибирская область,2005-01-01,0.0,,
2050007604,619334,2000079701,Маншлеева,Паликсения,Витомировна,1.0,Новосибирская область,1985-03-05,,,
2050007604,619376,2000079701,Маншлеева,Паликсения,Витомировна,1.0,Новосибирская область,1985-03-05,,,
2050007604,619383,2000079701,Маншлеева,Паликсения,Витомировна,1.0,Новосибирская область,1985-03-05,,92236.0,113100.0
2050007608,619528,2000079801,Цыбанкова,Изена,Валентиновна,1.0,Новосибирская область,1985-09-17,,,
2050007608,619545,2000079801,Цыбанкова,Изена,Валентиновна,1.0,Новосибирская область,1985-09-17,,,
2050007608,619558,2000079801,Цыбанкова,Изена,Валентиновна,1.0,Новосибирская область,1985-09-17,,107667.0,130500.0
2050007630,619978,2000076701,Храпченков,Евтей,Хадиевич,0.0,Чувашия,1990-12-14,,,
2050007686,620683,2000076701,Храпченков,Евтей,Хадиевич,0.0,Чувашия,1990-12-14,,,
2050007686,621526,2000076701,Храпченков,Евтей,Хадиевич,0.0,Чувашия,1990-12-14,,,
2050007686,621569,2000076701,Храпченков,Евтей,Хадиевич,0.0,Чувашия,1990-12-14,,,
2050007687,620993,2000063419,Шатнин,Задени,Лудиславович,0.0,Новосибирская область,1982-06-19,,,
2050007687,620994,2000063419,Шатнин,Задени,Лудиславович,0.0,Новосибирская область,1982-06-19,,,
2050007689,621446,2000080301,Митина,Санийа,Валентиновна,1.0,Новосибирская область,1982-10-13,,,
2050007689,621466,2000080301,Митина,Санийа,Валентиновна,1.0,Новосибирская область,1982-10-13,,,
2050007690,621540,2000080401,Бормосова,Эммина,Васильевна,1.0,Новосибирская область,1984-04-16,,,
2050007690,621560,2000080401,Бормосова,Эммина,Васильевна,1.0,Новосибирская область,1984-04-16,,,
2100044145,2018813,2000731101,Колькова,Имилина,Семеновна,1.0,Костромская область,1990-03-18,,,
2100046244,621390,2000758501,Мильцына,Лера,Сетовна,1.0,Астраханская область,1987-08-13,,,
2100048246,619609,2000776701,Хатуцкина,Мохтоб,Витомировна,1.0,Новосибирская область,1990-09-21,,,
2100048246,619613,2000776701,Хатуцкина,Мохтоб,Витомировна,1.0,Новосибирская область,1990-09-21,,,
2100048246,619619,2000776701,Хатуцкина,Мохтоб,Витомировна,1.0,Новосибирская область,1990-09-21,,,
2100048246,619627,2000776701,Хатуцкина,Мохтоб,Витомировна,1.0,Новосибирская область,1990-09-21,,,
2100048247,619661,2000776801,Олесова,Зуга,Яхьевна,1.0,Новосибирская область,1990-09-21,,,
2100048247,619667,2000776801,Олесова,Зуга,Яхьевна,1.0,Новосибирская область,1990-09-21,,,
2100048247,619669,2000776801,Олесова,Зуга,Яхьевна,1.0,Новосибирская область,1990-09-21,,,
2100048247,619671,2000776801,Олесова,Зуга,Яхьевна,1.0,Новосибирская область,1990-09-21,,,
2100048248,619677,2000776802,Егорова-Шмелева,Айганша,Вячеславовна,1.0,Новосибирская область,1990-09-21,,,
2100048248,619680,2000776802,Егорова-Шмелева,Айганша,Вячеславовна,1.0,Новосибирская область,1990-09-21,,,
2100048248,619692,2000776802,Егорова-Шмелева,Айганша,Вячеславовна,1.0,Новосибирская область,1990-09-21,,,
2100048248,619701,2000776802,Егорова-Шмелева,Айганша,Вячеславовна,1.0,Новосибирская область,1990-09-21,,,
2100048249,619785,2000776901,Афанусова,Петрунька,Гениевна,1.0,Новосибирская область,1990-09-21,,,
2100048249,619787,2000776901,Афанусова,Петрунька,Гениевна,1.0,Новосибирская область,1990-09-21,,,
2100048249,619788,2000776901,Афанусова,Петрунька,Гениевна,1.0,Новосибирская область,1990-09-21,,,
2100048249,619789,2000776901,Афанусова,Петрунька,Гениевна,1.0,Новосибирская область,1990-09-21,,,
2100048250,620087,2000777001,Щура,Джоди,Павловна,1.0,Новосибирская область,1990-09-21,,,
2100048250,620088,2000777001,Щура,Джоди,Павловна,1.0,Новосибирская область,1990-09-21,,,
2100048250,620089,2000777001,Щура,Джоди,Павловна,1.0,Новосибирская область,1990-09-21,,,
2100048250,620090,2000777001,Щура,Джоди,Павловна,1.0,Новосибирская область,1990-09-21,,,
2100048296,620291,2000777301,Гофман,Эдият,Егорович,0.0,Ханты-Мансийский АО — Югра,1978-09-24,,,
2100048296,620293,2000777301,Гофман,Эдият,Егорович,0.0,Ханты-Мансийский АО — Югра,1978-09-24,,,
2100048297,620292,2000777302,Рецкер,Акай,Винунович,0.0,Ханты-Мансийский АО — Югра,1990-09-22,,,
