app_id,run_id,client_id,work_id,phone_id,phone_type,phone_number
4770,2018804,3691,,260844,CELLPHONE,+792886532251044746
4770,2018804,3691,,260845,REGADDRESS_PHONE,+798130550372187383
7521,619706,5596,,351258,CELLPHONE,+794170487325544328
7521,619706,5596,126559.0,351257,KadrPhone,+797651706131057650
7522,619796,5599,,351360,CELLPHONE,+796387726050502623
7522,619796,5599,126596.0,351359,KadrPhone,+790282002473635485
7524,619925,5605,,351520,CELLPHONE,+797501171348415062
7528,620596,5611,,351967,CELLPHONE,+796501462614280245
7528,620596,5611,126836.0,351965,KadrPhone,+792061104067442840
7528,620596,5611,126836.0,351966,EmployersPhone,+796370406374022600
7529,620597,5612,,351970,CELLPHONE,+798263032726160137
7529,620597,5612,,351971,REGADDRESS_PHONE,+791652054734754040
7529,620597,5612,126837.0,351968,KadrPhone,+792212835243858046
7529,620597,5612,126837.0,351969,EmployersPhone,+795168877677008605
7529,620601,5612,,351975,CELLPHONE,+797122715328304306
7529,620601,5612,,351976,REGADDRESS_PHONE,+796620444830051053
7529,620601,5612,126839.0,351973,KadrPhone,+791843510021842168
7529,620601,5612,126839.0,351974,EmployersPhone,+796680066324207281
7530,620618,5613,,352005,CELLPHONE,+790571477864418585
7530,620618,5613,126850.0,352003,KadrPhone,+790868482153465145
7530,620618,5613,126850.0,352004,EmployersPhone,+793165545233453875
7531,620619,5614,,352008,CELLPHONE,+794853207680370788
7531,620619,5614,,352009,REGADDRESS_PHONE,+791763204731485047
7531,620619,5614,126851.0,352006,KadrPhone,+793583787427361380
7531,620619,5614,126851.0,352007,EmployersPhone,+792358011827808225
7531,620622,5614,,352017,CELLPHONE,+790823376011726047
7531,620622,5614,,352018,REGADDRESS_PHONE,+790231782486655834
7531,620622,5614,126854.0,352015,KadrPhone,+792141545416503152
7531,620622,5614,126854.0,352016,EmployersPhone,+796250488675313661
7532,620672,5616,,352088,CELLPHONE,+795545874245300116
7532,620672,5616,126877.0,352086,KadrPhone,+794020486361845135
7532,620672,5616,126877.0,352087,EmployersPhone,+793378067040017710
7533,620673,5617,,352091,CELLPHONE,+792445581743081411
7533,620673,5617,,352092,REGADDRESS_PHONE,+792068040545083042
7533,620673,5617,126878.0,352089,KadrPhone,+794701185716745312
7533,620673,5617,126878.0,352090,EmployersPhone,+792311542026380816
7533,620677,5617,,352099,CELLPHONE,+796258330273683683
7533,620677,5617,,352100,REGADDRESS_PHONE,+796240330307060138
7533,620677,5617,126880.0,352097,KadrPhone,+795832236001803112
7533,620677,5617,126880.0,352098,EmployersPhone,+791404586136818728
7534,620678,5619,,352103,CELLPHONE,+794665861182727881
7534,620678,5619,126881.0,352101,KadrPhone,+796565081613420825
7534,620678,5619,126881.0,352102,EmployersPhone,+797516065540216245
7535,620679,5620,,352106,CELLPHONE,+797772678064165085
7535,620679,5620,,352107,REGADDRESS_PHONE,+791120503612021042
7535,620679,5620,126882.0,352104,KadrPhone,+794006847326382415
7535,620679,5620,126882.0,352105,EmployersPhone,+791878477870806003
7535,620686,5620,,352120,CELLPHONE,+794411520315215303
7535,620686,5620,,352121,REGADDRESS_PHONE,+793705078234670630
7535,620686,5620,126886.0,352118,KadrPhone,+790167880864764721
7535,620686,5620,126886.0,352119,EmployersPhone,+798080844542538225
7536,620689,5622,,352127,CELLPHONE,+798165860374166136
7536,620689,5622,126888.0,352125,KadrPhone,+791312212640404864
7536,620689,5622,126888.0,352126,EmployersPhone,+796364744083132368
7537,620690,5623,,352130,CELLPHONE,+798574102308385632
7537,620690,5623,,352131,REGADDRESS_PHONE,+795811101131134076
7537,620690,5623,126889.0,352128,KadrPhone,+798762516213167341
7537,620690,5623,126889.0,352129,EmployersPhone,+796336080837807554
7537,620691,5623,,352134,CELLPHONE,+791462024434737545
7537,620691,5623,,352135,REGADDRESS_PHONE,+795723464552218630
7537,620691,5623,126890.0,352132,KadrPhone,+792322577658620700
7537,620691,5623,126890.0,352133,EmployersPhone,+796214481257600462
7538,620697,5625,,352142,CELLPHONE,+791130883134178067
7538,620697,5625,126893.0,352140,KadrPhone,+793104501242378384
7538,620697,5625,126893.0,352141,EmployersPhone,+791652535506600256
7539,620698,5626,,352145,CELLPHONE,+790030086675153764
7539,620698,5626,,352146,REGADDRESS_PHONE,+796264054152614624
7539,620698,5626,126894.0,352143,KadrPhone,+797358655406423582
7539,620698,5626,126894.0,352144,EmployersPhone,+794681470368443210
7539,620704,5626,,352155,CELLPHONE,+794120130752384237
7539,620704,5626,,352156,REGADDRESS_PHONE,+791524554602324365
7539,620704,5626,126898.0,352153,KadrPhone,+796568111613344225
7539,620704,5626,126898.0,352154,EmployersPhone,+792378868341852261
7540,620860,5628,,352357,CELLPHONE,+798411612786186433
7540,620860,5628,126981.0,352355,KadrPhone,+794050486842080368
7540,620860,5628,126981.0,352356,EmployersPhone,+790180065354157744
7541,620861,5629,,352360,CELLPHONE,+795811014112765138
7541,620861,5629,,352361,REGADDRESS_PHONE,+796223712646247705
7541,620861,5629,126982.0,352358,KadrPhone,+794363166582871688
7541,620861,5629,126982.0,352359,EmployersPhone,+792446688212733831
7541,620862,5629,,352364,CELLPHONE,+790668076317154747
7541,620862,5629,,352365,REGADDRESS_PHONE,+798500143022656341
7541,620862,5629,126983.0,352362,KadrPhone,+795410252305343212
7541,620862,5629,126983.0,352363,EmployersPhone,+791365776858788202
7542,620986,5631,,352487,CELLPHONE,+795042760207803681
7542,620986,5631,,352488,REGADDRESS_PHONE,+796436105387351507
7542,620986,5631,127034.0,352485,KadrPhone,+797332887444640830
7542,620986,5631,127034.0,352486,EmployersPhone,+793253213528330366
7543,621006,5632,,352514,CELLPHONE,+790531883415235136
7543,621006,5632,,352515,REGADDRESS_PHONE,+797530345207825780
7543,621006,5632,127045.0,352512,KadrPhone,+791542766062216614
7543,621006,5632,127045.0,352513,EmployersPhone,+797363024707522002
7544,621076,5634,,352601,CELLPHONE,+798000512317371730
7544,621076,5634,,352602,REGADDRESS_PHONE,+794583542207438415
7544,621076,5634,127079.0,352599,KadrPhone,+793140546853786767
7544,621076,5634,127079.0,352600,EmployersPhone,+794072586700351235
7545,621104,5635,,352644,CELLPHONE,+795814253871376863
7545,621104,5635,127095.0,352642,KadrPhone,+791114653832716240
7545,621104,5635,127095.0,352643,EmployersPhone,+790080756674863225
7546,621157,5637,,352723,CELLPHONE,+790557551422873836
7546,621157,5637,,352724,REGADDRESS_PHONE,+790813751200178146
7546,621157,5637,127126.0,352722,KadrPhone,+796205881117107374
7547,621198,5638,,352800,CELLPHONE,+793614123032743286
7547,621198,5638,127150.0,352799,KadrPhone,+797286635543820110
7548,621306,5640,,352927,CELLPHONE,+796712881038602238
7548,621306,5640,,352928,REGADDRESS_PHONE,+792542544757622624
7548,621306,5640,127193.0,352925,KadrPhone,+796647620646684751
7548,621306,5640,127193.0,352926,EmployersPhone,+791333105152304144
7548,621307,5640,,352931,CELLPHONE,+795012753825117300
7548,621307,5640,,352932,REGADDRESS_PHONE,+792288831873343286
7548,621307,5640,127194.0,352929,KadrPhone,+797212737056566528
7548,621307,5640,127194.0,352930,EmployersPhone,+794732135230034513
7549,621373,5641,,353035,CELLPHONE,+798853341663563435
7549,621373,5641,127224.0,353034,KadrPhone,+795367188006171124
7549,621378,5641,,353040,CELLPHONE,+791226477008431786
7549,621378,5641,127226.0,353039,KadrPhone,+792701012267043320
7550,621557,5643,,353265,CELLPHONE,+796408701547362513
7550,621557,5643,127311.0,353264,KadrPhone,+793877766006850828
7550,621561,5643,,353270,CELLPHONE,+797862625742272075
7550,621561,5643,127313.0,353269,KadrPhone,+792213835884526050
7551,621739,5644,,353448,CELLPHONE,+795256856304508703
2050007604,619334,2000079701,,350838,CELLPHONE,+791704481481215322
2050007604,619376,2000079701,,350862,CELLPHONE,+796737034106154320
2050007604,619376,2000079701,126414.0,350861,KadrPhone,+793840474663576055
2050007604,619383,2000079701,,350866,CELLPHONE,+793727731542115661
2050007604,619383,2000079701,126417.0,350865,KadrPhone,+791263753376255344
2050007608,619528,2000079801,,351039,CELLPHONE,+796204034008044455
2050007608,619545,2000079801,,351052,CELLPHONE,+796566812821568217
2050007608,619545,2000079801,126490.0,351051,KadrPhone,+796241165420324272
2050007608,619558,2000079801,,351068,CELLPHONE,+795320538231202270
2050007608,619558,2000079801,126496.0,351067,KadrPhone,+790602570152227787
2050007630,619978,2000076701,,351556,CELLPHONE,+793275288105416406
2050007630,619978,2000076701,,351557,LIVEADDRESS_PHONE,+791561111266003823
2050007630,619978,2000076701,126678.0,351555,KadrPhone,+795214685830360413
2050007686,620683,2000076701,,352112,CELLPHONE,+791565523524215002
2050007686,620683,2000076701,,352113,LIVEADDRESS_PHONE,+793446260811737746
2050007686,620683,2000076701,126884.0,352111,KadrPhone,+793881478466321531
2050007686,621526,2000076701,,353236,CELLPHONE,+796804337016472740
2050007686,621526,2000076701,,353237,LIVEADDRESS_PHONE,+793428323852563887
2050007686,621526,2000076701,127298.0,353235,KadrPhone,+791251478658507470
2050007686,621569,2000076701,,353277,CELLPHONE,+795708367550880557
2050007686,621569,2000076701,,353278,LIVEADDRESS_PHONE,+793705828087740012
2050007686,621569,2000076701,127318.0,353276,KadrPhone,+792816400357534711
2050007687,620993,2000063419,,352497,CELLPHONE,+794305688124533784
2050007687,620994,2000063419,,352500,CELLPHONE,+796654513342103474
2050007687,620994,2000063419,127039.0,352498,KadrPhone,+791162025647747173
2050007687,620994,2000063419,127039.0,352499,EmployersPhone,+792320887435056427
2050007689,621446,2000080301,,353132,CELLPHONE,+796512082741242764
2050007689,621446,2000080301,,353133,REGADDRESS_PHONE,+790156683406703457
2050007689,621466,2000080301,,353162,CELLPHONE,+796857731673476815
2050007689,621466,2000080301,,353163,REGADDRESS_PHONE,+790262030454504573
2050007689,621466,2000080301,127271.0,353161,KadrPhone,+795762547608158475
2050007690,621540,2000080401,,353243,CELLPHONE,+795118733362101031
2050007690,621540,2000080401,,353244,REGADDRESS_PHONE,+798367311145666783
2050007690,621560,2000080401,,353267,CELLPHONE,+797186218464573587
2050007690,621560,2000080401,,353268,REGADDRESS_PHONE,+795585287387833087
2050007690,621560,2000080401,127312.0,353266,KadrPhone,+797867204403133374
2100044145,2018813,2000731101,,334903,CELLPHONE,+797406625410761664
2100044145,2018813,2000731101,,334904,REGADDRESS_PHONE,+794612510806876702
2100044145,2018813,2000731101,,334930,CELLPHONE,+792614763138460605
2100044145,2018813,2000731101,,334931,REGADDRESS_PHONE,+796730568733822152
2100044145,2018813,2000731101,,341149,CELLPHONE,+793681140208137065
2100044145,2018813,2000731101,,341150,REGADDRESS_PHONE,+798045732525780172
2100044145,2018813,2000731101,119971.0,334901,KadrPhone,+795002402524607585
2100044145,2018813,2000731101,119971.0,334902,EmployersPhone,+792218466714118366
2100044145,2018813,2000731101,119982.0,334928,KadrPhone,+795382180464711356
2100044145,2018813,2000731101,119982.0,334929,EmployersPhone,+796346766124166244
2100044145,2018813,2000731101,122364.0,341147,KadrPhone,+797061756630582152
2100044145,2018813,2000731101,122364.0,341148,EmployersPhone,+798875263836451766
2100046244,621390,2000758501,,353068,CELLPHONE,+795256528078278664
2100046244,621390,2000758501,127234.0,353066,KadrPhone,+797171562350261586
2100046244,621390,2000758501,127234.0,353067,EmployersPhone,+797871068466818568
2100048246,619609,2000776701,,351112,CELLPHONE,+791370252464631210
2100048246,619609,2000776701,,351113,REGADDRESS_PHONE,+793831708814371121
2100048246,619609,2000776701,126515.0,351110,KadrPhone,+790254221034637140
2100048246,619609,2000776701,126515.0,351111,EmployersPhone,+795434654364865066
2100048246,619613,2000776701,,351124,CELLPHONE,+795512081062854536
2100048246,619613,2000776701,,351125,REGADDRESS_PHONE,+794804417858620443
2100048246,619613,2000776701,126518.0,351122,KadrPhone,+790838822720364247
2100048246,619613,2000776701,126518.0,351123,EmployersPhone,+796617666388683560
2100048246,619619,2000776701,,351133,CELLPHONE,+790475005100180300
2100048246,619619,2000776701,,351134,REGADDRESS_PHONE,+798814723084514187
2100048246,619619,2000776701,126523.0,351131,KadrPhone,+795184455427351240
2100048246,619619,2000776701,126523.0,351132,EmployersPhone,+798331813218353737
2100048246,619627,2000776701,,351146,CELLPHONE,+797344214404148472
2100048246,619627,2000776701,,351147,REGADDRESS_PHONE,+793483776881861186
2100048246,619627,2000776701,126527.0,351144,KadrPhone,+791543503842776512
2100048246,619627,2000776701,126527.0,351145,EmployersPhone,+794007217717278737
2100048247,619661,2000776801,,351189,CELLPHONE,+795546383624441305
2100048247,619661,2000776801,,351190,REGADDRESS_PHONE,+793538607200234272
2100048247,619661,2000776801,126539.0,351187,KadrPhone,+790342216087347362
2100048247,619661,2000776801,126539.0,351188,EmployersPhone,+792750628276816817
2100048247,619667,2000776801,,351197,CELLPHONE,+796418204276608873
2100048247,619667,2000776801,,351198,REGADDRESS_PHONE,+793528210304326535
2100048247,619667,2000776801,126541.0,351195,KadrPhone,+793505158232851512
2100048247,619667,2000776801,126541.0,351196,EmployersPhone,+794152117316100544
2100048247,619669,2000776801,,351201,CELLPHONE,+796863337043276035
2100048247,619669,2000776801,,351202,REGADDRESS_PHONE,+793708766586503301
2100048247,619669,2000776801,126542.0,351199,KadrPhone,+796477013866821006
2100048247,619669,2000776801,126542.0,351200,EmployersPhone,+793510621182784054
2100048247,619671,2000776801,,351205,CELLPHONE,+795338428601226077
2100048247,619671,2000776801,,351206,REGADDRESS_PHONE,+791654204020824221
2100048247,619671,2000776801,126543.0,351203,KadrPhone,+790525538357187405
2100048247,619671,2000776801,126543.0,351204,EmployersPhone,+798551400212733888
2100048248,619677,2000776802,,351215,CELLPHONE,+796545536602432513
2100048248,619677,2000776802,,351216,REGADDRESS_PHONE,+796783462742756060
2100048248,619677,2000776802,126547.0,351213,KadrPhone,+798541877627767828
2100048248,619677,2000776802,126547.0,351214,EmployersPhone,+792388158676376708
2100048248,619680,2000776802,,351223,CELLPHONE,+794618562102441423
2100048248,619680,2000776802,,351224,REGADDRESS_PHONE,+798321168423123738
2100048248,619680,2000776802,126549.0,351221,KadrPhone,+794127865564171105
2100048248,619680,2000776802,126549.0,351222,EmployersPhone,+797076435022006145
2100048248,619692,2000776802,,351234,CELLPHONE,+791828658342117070
2100048248,619692,2000776802,,351235,REGADDRESS_PHONE,+797864516177387664
2100048248,619692,2000776802,126552.0,351232,KadrPhone,+792635518643224725
2100048248,619692,2000776802,126552.0,351233,EmployersPhone,+796453285752310862
2100048248,619701,2000776802,,351248,CELLPHONE,+796866178000605836
2100048248,619701,2000776802,,351249,REGADDRESS_PHONE,+790416040647066056
2100048248,619701,2000776802,126556.0,351246,KadrPhone,+795577061865333351
2100048248,619701,2000776802,126556.0,351247,EmployersPhone,+797166268547670767
2100048249,619785,2000776901,,351334,CELLPHONE,+794078878863764261
2100048249,619785,2000776901,,351335,REGADDRESS_PHONE,+792128725664161115
2100048249,619785,2000776901,126588.0,351332,KadrPhone,+793446710072114016
2100048249,619785,2000776901,126588.0,351333,EmployersPhone,+798787428174101478
2100048249,619787,2000776901,,351341,CELLPHONE,+796634672501355530
2100048249,619787,2000776901,,351342,REGADDRESS_PHONE,+792301567204807878
2100048249,619787,2000776901,126590.0,351339,KadrPhone,+796875786641577011
2100048249,619787,2000776901,126590.0,351340,EmployersPhone,+798253457572317208
2100048249,619788,2000776901,,351345,CELLPHONE,+796363472865124347
2100048249,619788,2000776901,,351346,REGADDRESS_PHONE,+791777541553281053
2100048249,619788,2000776901,126591.0,351343,KadrPhone,+790110218016231127
2100048249,619788,2000776901,126591.0,351344,EmployersPhone,+794230062420154433
2100048249,619789,2000776901,,351349,CELLPHONE,+792042670761448220
2100048249,619789,2000776901,,351350,REGADDRESS_PHONE,+790525640136808801
2100048249,619789,2000776901,126592.0,351347,KadrPhone,+798750711016403258
2100048249,619789,2000776901,126592.0,351348,EmployersPhone,+790062628473277437
2100048250,620087,2000777001,,351631,CELLPHONE,+793203231003210863
2100048250,620087,2000777001,,351632,REGADDRESS_PHONE,+796664155510380062
2100048250,620087,2000777001,126710.0,351629,KadrPhone,+793206775637034000
2100048250,620087,2000777001,126710.0,351630,EmployersPhone,+790851112357583714
2100048250,620088,2000777001,,351635,CELLPHONE,+797411288242534456
2100048250,620088,2000777001,,351636,REGADDRESS_PHONE,+794611802612727280
2100048250,620088,2000777001,126711.0,351633,KadrPhone,+791742641382533870
2100048250,620088,2000777001,126711.0,351634,EmployersPhone,+792537038737843400
2100048250,620089,2000777001,,351639,CELLPHONE,+791007533522474168
2100048250,620089,2000777001,,351640,REGADDRESS_PHONE,+790381374654683413
2100048250,620089,2000777001,126712.0,351637,KadrPhone,+794600364662163730
2100048250,620089,2000777001,126712.0,351638,EmployersPhone,+797857647665670540
2100048250,620090,2000777001,,351643,CELLPHONE,+796427223177721180
2100048250,620090,2000777001,,351644,REGADDRESS_PHONE,+796416104261777870
2100048250,620090,2000777001,126713.0,351641,KadrPhone,+797324406776110862
2100048250,620090,2000777001,126713.0,351642,EmployersPhone,+793064443875310217
2100048296,620291,2000777301,,351669,CELLPHONE,+792331355615413414
